HEORG_REFNO,HealthOrg_Description,Postal_Address,Postal_Suburb,Postal_State,Postal_Postcode,Fax,Phone,Work_Phone,Mobile_Phone,Email
62138,10 Turner Street Consulting Rooms,10 Turner Street,BACCHUS MARSH,VIC,3340,03 5367 0300,03 5367 9150,NULL,NULL,info@djhs.org.au
69457,100 Dent Dental Surgery Pty Ltd,"Level 1, 100 Hemmings Street",DANDENONG,VIC,3175,NULL,03 8707 2086,NULL,NULL,info@100dent.com.au
62419,100% Health,33 Ivanhoe Parade,IVANHOE,VIC,3079,03 9497 3595,03 9497 2607,NULL,NULL,info@100percenthealth.com.au
68615,101 Physio,"Unit 7, 211 Barries Road",MELTON WEST,VIC,3337,03 9746 6936,03 9746 6852,NULL,NULL,wecare@101physio.com.au
69442,101 Physio - Bacchus Marsh,"Suite 7, 211-223 BARRIES ROAD",MELTON WEST,VIC,3337,03 9746 6936,03 9746 6852,NULL,NULL,wecare@101physio.com.au
65310,101 Physio Footscray,77 Paisley Street,FOOTSCRAY,VIC,3011,03 9689 6204,03 9689 2466,NULL,NULL,admin@lifecarefootscray.com
16447,1013 MAIR STREET,1013 MAIR STREET,BALLARAT,VIC,3350,5333 3692,5333 3033,NULL,NULL,NULL
13014,104 DRUMMOND ST NORTH PRA,104 DRUMMOND ST NORTH PRA 104 DRUMMOND STREET NORTH,BALLARAT,VIC,3350,5333 7180,5332 1355,NULL,NULL,NULL
41751,13Sick National Home Doctor Service,Richmond,Richmond,VIC,3121,NULL,137425,NULL,NULL,NULL
42170,13Sick National Home Doctors Service,"Level 4, 29 - 57 Christie Street",St Leonards,NSW,2065,02 9427 1014,02 9429 5677,NULL,NULL,NULL
65280,13th Beach Health Services,"SHOP 2, 77 HITCHCOCK AVENUE",BARWON HEADS,VIC,3227,03 5254 2202,03 5254 2668,NULL,NULL,reception@13thbeachhealthservices.com.au
17140,"15 Martins Lane, Viewbank","Unit 2, 15 Martins Lane",VIEWBANK,VIC,3084,0394552748,0394583911,NULL,NULL,office@viewbankmc.com.au
63825,151 Medical,40 DROOP STREET,FOOTSCRAY,VIC,3011,03 9362 0437,03 9396 1426,NULL,NULL,NULL
44010,151 Medical,151 - 153 Geelong Road,Footscray,VIC,3011,9362 0437,9396 1426,NULL,NULL,NULL
64561,160 Balcombe Road Dental Surgery,160 Balcombe Road,MENTONE,VIC,3194,NULL,03 9583 4181,NULL,NULL,NULL
9353,174 Victoria Parade Day Surgery,174 Victoria Parade,East Melbourne,VIC,3002,NULL,03 9663 6666,NULL,NULL,NULL
61194,195 Specialist Centre,"Suite 8, 195 Thompsons Road",BULLEEN,VIC,3105,03 8850 5350,03 8850 5300,NULL,NULL,info@195specialistcentre.com.au
64285,20 Collins Street Medical Centre,"Level 3 Suite 3, 20 Collins Street",MELBOURNE,VIC,3000,03 9654 0662,03 9654 5271,NULL,NULL,NULL
11721,202 ONTARIO,202 ONTARIO 202 ONTARIO AVENUE,MILDURA,VIC,3500,5021 0266,5021 1688,NULL,NULL,NULL
64537,2020NOW,335 Centre Road,BENTLEIGH,VIC,3204,03 9012 9766,03 9012 9770,NULL,NULL,info@2020now.com.au
15220,203 UNION RD,203 UNION RD,SURREY HILLS,VIC,3127,9899 6188,9899 6144,NULL,NULL,NULL
51751,24-7 Medcare,737 Burwood Raod,Hawthorn,VIC,3122,1300 339 247,13 9247,NULL,NULL,NULL
61807,24-7MedCare GP Telehealth,"Telehealth Services, Ground Floor, 737 Burwood Road",HAWTHORN,VIC,3122,1300339247,NULL,NULL,NULL,reception@24-7Medcare.com.au
28909,28 Drummond Street North Medical Practice,28 Drummond Street,North Ballarat,VIC,3350,5336 2447,5331 3128,NULL,NULL,NULL
42390,291 Roslyn Road Medical Practice,291 Roslyn Road,HIGHTON,VIC,3216,03 5241 1266,03 5241 1155,NULL,NULL,roslynroad291@yahoo.com.au
67314,2nrich Holistic Wellness & Vitality Centre,131 Commercial Road,SOUTH YARRA,VIC,3141,03 9078 0397,03 9078 0387,NULL,NULL,info@2nrich.com
66121,3004 Eyecare,"Shop 4, 431 St Kilda Road",MELBOURNE,VIC,3004,03 9866 1754,03 9866 1702,NULL,NULL,info@3004eyecare.com.au
60596,305 Warrigal Road Burwood 3125,305 Warrigal Road,BURWOOD,VIC,3125,.,03 9809 2188,NULL,NULL,info@transformationalmedicine.com
68333,360 Wellness,"Unit 14, 603 Boronia Road",WANTIRNA,VIC,3152,03 9800 5322,03 9800 5350,NULL,NULL,admin@360wellness.com.au
61053,4thought Psychology,351 Nepean Highway,BRIGHTON EAST,VIC,3187,03 9530 8514,03 9530 8773,NULL,NULL,info@4thoughtpsychology.com.au
65610,5 Star Dental Sydenham,574 Melton Highway,SYDENHAM,VIC,3037,03 9449 9746,03 9449 9348,NULL,NULL,5stardentalsydenham@gmail.com
38951,501 South Road Family Clinic,501 South Road,East Bentleigh,VIC,3165,9553 1291,9555 1505,NULL,NULL,NULL
64963,501 South Road Family Clinic,501 South Road,BENTLEIGH,VIC,3204,03 9553 1291,03 9555 1505,NULL,NULL,NULL
67745,534 DENTAL,534 Barkly Street,WEST FOOTSCRAY,VIC,3012,03 9687 8706,03 9687 0540,NULL,NULL,westfootscraydental@gmail.com
64392,650 Bridge Consulting Suites,"Level 2, 650 Bridge Road",RICHMOND,VIC,3121,NULL,03 9828 1300,NULL,NULL,reception@650bridge.com.au
34253,66 Darebin Street,66 Darebin Street,HEIDELBERG,VIC,3084,03 9458 5199,03 9458 5100,NULL,NULL,reception@66darebinst.com.au
68677,7 Pillars Of Wellness,"Tavistock Cottage, 305 OLINDA-MONBULK ROAD",MONBULK,VIC,3793,.,0423 871 661,NULL,NULL,intake@7pillarsofwellness.com
42030,755 Sayers Road Medical Centre,755 Sayers Road,HOPPERS CROSSING,VIC,3029,0387547699,0387547600,NULL,NULL,info@755srmc.com.au
63078,818 Dental,818 High Street,ARMADALE,VIC,3143,03 9509 0184,03 9509 1883,NULL,NULL,reception@818dental.com.au
64956,A Better Dental Care,"Suite 3, 6 8 Langmore Lane",BERWICK,VIC,3806,03 9769 3900,03 9796 2029,NULL,NULL,contact@dentcare.com.au
64763,A Brite Smile - Brunswick,"Shop 5, 650 Sydney Road",BRUNSWICK,VIC,3056,03 9386 6150,03 9386 6166,NULL,NULL,info@abritesmile.com.au
61123,A Dentist on Centre,447 Centre Road,BENTLEIGH,VIC,3204,03 9557 9477,03 9557 9444,NULL,NULL,info@adentistoncentre.com.au
18055,A G Eastwood Hostel - Kingston Centre,376 Warrigal Rd,Cheltenham,VIC,3192,9265 1484,9265 1328,NULL,NULL,NULL
69477,A H Bennett Massage Therapy,4 Munica Court,FRANKSTON,VIC,3199,NULL,03 5971 2939,NULL,NULL,NULL
60958,A Life Simply Lived Psychology,5 Station Street,BOORT,VIC,3537,03 5455 2003,0439 320 444,NULL,NULL,admin@alifesimplylived.com.au
